date,Tmin,Tmax,vent,pluie
15/09/2011,22,31,22,0
16/09/2011,21,32,,0
17/09/2011,21,34,21,0
18/09/2011,21,33,24,0
19/09/2011,20,27,37,0
20/09/2011,19,27,39,2.2
21/09/2011,20,29,26,0
22/09/2011,17,30,15,0
23/09/2011,17,30,21,0
24/09/2011,18,29,24,0
25/09/2011,20,30,34,0.2
26/09/2011,19,28,21,0.5
27/09/2011,21,29,29,0
28/09/2011,21,27,21,0
29/09/2011,20,28,,5
30/09/2011,18,29,16,0
01/10/2011,18,29,,0
02/10/2011,18,29,21,0
03/10/2011,19,29,28,0
04/10/2011,18,28,22,0
05/10/2011,19,28,,0
06/10/2011,18,28,16,0
07/10/2011,19,29,28,0
08/10/2011,17,25,31,5.8
09/10/2011,15,21,37,0.7
10/10/2011,15,23,31,10.4
11/10/2011,18,29,29,0
12/10/2011,18,30,,0
13/10/2011,16,31,24,0
14/10/2011,20,27,31,0
15/10/2011,16,20,28,2.7
16/10/2011,15,22,26,26.6
17/10/2011,14,22,,0
18/10/2011,13,23,16,1.5
19/10/2011,16,27,21,0
20/10/2011,14,28,21,0
21/10/2011,16,24,15,1
22/10/2011,14,24,,0
23/10/2011,16,27,16,0
24/10/2011,16,27,29,0
25/10/2011,17,27,24,0
26/10/2011,15,24,24,2
27/10/2011,15,27,21,0.5
28/10/2011,20,27,26,0
29/10/2011,20,24,31,0
30/10/2011,15,21,34,16.5
31/10/2011,16,24,22,74.6
01/11/2011,18,20,22,8.3
02/11/2011,17,23,9,4.5
03/11/2011,16,23,22,1.7
04/11/2011,18,24,24,0
05/11/2011,16,26,42,0
06/11/2011,13,22,29,0
07/11/2011,14,24,24,0
08/11/2011,14,25,15,0
09/11/2011,12,23,21,0
10/11/2011,14,22,22,0
11/11/2011,14,23,13,0.2
12/11/2011,12,22,16,0
13/11/2011,12,22,,0.5
14/11/2011,10,21,9,0
15/11/2011,14,21,21,0
16/11/2011,15,19,,0
17/11/2011,14,20,16,3
18/11/2011,16,21,,0
19/11/2011,14,20,16,1.7
20/11/2011,11,23,,0
21/11/2011,17,21,29,0
22/11/2011,14,23,21,0
23/11/2011,14,21,24,0
24/11/2011,15,21,21,0.5
25/11/2011,13,22,15,0.2
26/11/2011,12,22,15,0.5
27/11/2011,11,21,,0
28/11/2011,17,20,28,0
29/11/2011,14,18,22,0.2
30/11/2011,14,20,16,9.9
01/12/2011,10,20,11,0.7
02/12/2011,9,21,22,0
03/12/2011,12,21,,0
04/12/2011,11,20,16,0
05/12/2011,10,20,26,0
06/12/2011,11,17,22,0
07/12/2011,13,19,31,0.7
08/12/2011,12,20,24,0
09/12/2011,11,21,13,0
10/12/2011,8,19,,0
11/12/2011,8,18,15,0
12/12/2011,8,20,22,0
13/12/2011,11,19,,0
14/12/2011,9,20,16,0
15/12/2011,10,20,26,0
16/12/2011,11,20,24,0
17/12/2011,11,17,28,0.2
18/12/2011,8,13,31,8.6
19/12/2011,6,12,34,3
20/12/2011,8,15,26,23.6
21/12/2011,10,16,37,5
22/12/2011,11,17,24,0.7
23/12/2011,10,17,26,0
24/12/2011,11,19,35,0
25/12/2011,11,16,35,0
26/12/2011,10,15,26,0.5
